William Hartnellæ(1963_66)
Patrick Troughtonæ(1966_69)
Jon Pertweeæ(1970_74)
Tom Bakeræ(1974_81)
Peter Davisonæ(1982_84)
Colin Bakeræ(1984_86)
Sylvester McCoyæ(1987_89)
Paul McGannæ(1996)
Christopher Ecclestonæ(2005)
David Tennantæ(2005_10)
Matt Smithæ(2010_13)
Peter Capaldiæ(2014_2017)
